inga,espanol
15 Eliudka Eleazar suti wawata;  Eleazarka Matán suti wawata;  Matanka Jakob suti wawata;,15 Eliud engendró a Eleazar; Eleazar engendró a Matán; Matán engendró a Jacob.
16 Jakobka José suti wawata iukarka.  Chi Joseka Mariapa kusami tukugsamurka. Mariaka Mesías u Cristo suti  Jesuspa mamami tukurka.,16 Jacob engendró a José marido de María de la cual nació Jesús llamado el Cristo.
17 Chasaka ñugpa taita Abra ham mandata atun mandag Davidkama  chunga chusku achala taitakunasik karka. Davidmandata Israelmanda  runakuna Babilonia alpama prisu apai tukunkama chunga chusku achala  taitakunasik tukugsamurka. Chi alpama apai tukuskauramandata Cristo  tiagsamunkama ikuti chunga chusku achala taitakunasik tukugsamurka.  Iaia Jesús tiagsamungapa kaskamanda,17 De manera que todas las generaciones desde Abraham hasta David son catorce generaciones y desde David hasta la deportación a Babilonia son catorce generaciones y desde la deportación a Babilonia hasta el Cristo son catorce generaciones.
18 Kasami tukugsamurka Jesucristo tiagsamungapa kaura. Paipa mama  María Josewa kasarangapa karka. Paikuna manara sugllapi kaugsagpi  Mariaka Santu Ispiritumandami wigsitawa ungug ña karka.,18 El nacimiento de Jesucristo fue así: Su madre María estaba desposada con José; y antes de que se unieran se halló que ella había concebido del Espíritu Santo.
19 Paipa  kusa tukunga Joseka kawarka paipa warmi ña wambrawa ungug kagta.  Pai alli runa kaspa mana munarka sugkunapa ñawipi pingaiachingapa.  Nispa iuiarirka paimanda pakalla sitaspa anchuringapa.,19 José su marido como era justo y no quería difamarla se propuso dejarla secretamente.
20 Chasa iuia kunkama atun Taita Diuspa sug anjilka Joseta muskui  ukupi kawarispa nirka:  —Davidpa wawakunapa wawa José *mana mancharikui. Kamba warmi  tukunga Mariata kamba wasima kaiai. Paika Santu Ispiritumandami ungug  ka.,20 Mientras él pensaba en esto he aquí un ángel del Señor se le apareció en sueños y le dijo: “José hijo de David no temas recibir a María tu mujer porque lo que ha sido engendrado en ella es del Espíritu Santo.
21 Kari wambrami iukangapa ka. Paitaka sutichinkangimi Jesús. Paimi  paipa alpamanda kagkunata pandariskakunata pasinsiaspa kispichingapa ka.,21 Ella dará a luz un hijo; y llamarás su nombre Jesús porque él salvará a su pueblo de sus pecados. ”
22 Chasami atun Taita Dius paipa Ispirituwa rimagwa ñug pata willaskasina tukugsamurka. Kasami ñugpamandata willaraiarka:,22 Todo esto aconteció para que se cumpliese lo que habló el Señor por medio del profeta diciendo:
23 Uiaichi. Mana kari rigsiska sipas ungu rispa  sug kari wambrami iukagsamungapa ka.  Paita Emanuelmi sutichingapa kankuna.  (Emanuel niraianmi “Dius nukanchiwa”.),23 He aquí la virgen concebirá y dará a luz un hijo y llamarán su nombre Emanuel que traducido quiere decir: Dios con nosotros.
24 José ña rigcha rispaka atun Taita Diuspa anjil imasa niskasina  rurarka. Mariata paipa wasima warmitasina kaiarka.,24 Cuando José despertó del sueño hizo como el ángel del Señor le había mandado y recibió a su mujer.
25 Chasa kaiaspapas  mana sugllapi tukurkakuna willaska kari wambra tiagsamunkama. Ña  tiagsamuura paita Jesús sutichirka.  Magukuna Jesuspagma chaiangapa riskakunamanda,25 Pero no la conoció hasta que ella dio a luz un hijo y llamó su nombre Jesús.
<CAP>,Capítulo 2
1 Judea alpa manda Belén puiblupimi Jesús tiagsamurka. Chi alpapi  kaugsanakuskata mandag Herodes suti karka. Chiurakuna magu  suti istrillakunata iachaikug taitakunaka indi llugsidirunigmanda Jerusalén puibluma chaiagsamurkakuna.,1 Jesús nació en Belén de Judea en días del rey Herodes. Y he aquí unos magos vinieron del oriente a Jerusalén
2 Chipika tapunakurka:  —Judiukunapa atun mandag ña tiagsamuska ¿maipitak ka? Istrilla pai  tiagsamuska kawachigtami indi llugsidirupi kawarkanchi. Chimandami  samurkanchi paita kunguringapa.,2 preguntando: — ¿ Dónde está el rey de los judíos que ha nacido? Porque hemos visto su estrella en el oriente y hemos venido para adorarle.
3 Chasa uiaspa atun mandag Herodes i Jerusalenpi tukui kaugsa na kug  iapa mancharirkakuna.,3 Cuando el rey Herodes oyó esto se turbó y toda Jerusalén con él.
4 Herodeska tukui iaia sasirdutikunata i Moisés  ima niskata iachachig taitakunata kaiaspa tapurkakunata:  —Cristo ¿maipitak tiagsamungapa willaraiá?,4 Y habiendo convocado a todos los principales sacerdotes y a los escribas del pueblo les preguntó dónde había de nacer el Cristo.
5 Chiura ainirka kuna:  —Judá alpamanda Belén puiblupimi willaraiá. Kasami Santu Ispirituwa  ñugpamanda rimag nirka:,5 Ellos le dijeron: — En Belén de Judea porque así está escrito por el profeta:
6 Kam Belén Judá alpa manda sug puiblu kuna manda mas uchulla  mana kangichu.  Kambagmandami sug atun mandag llugsingapa ka.  Paika nukapa Israel alpamanda tukui runakunata kawaspa ñugpagmi kangapa ka.,6 Y tú Belén en la tierra de Judá de ninguna manera eres la más pequeña entre los gobernadores de Judá; porque de ti saldrá un gobernante que pastoreará a mi pueblo Israel.
7 Chasa uiangallawa Herodeska pakalla magukunata kaiaspa allilla  tapuchirka:  —¿Imauramandatak chi istrilla llugsiskata kawarkangichi?—.,7 Entonces Herodes llamó en secreto a los magos e indagó de ellos el tiempo de la aparición de la estrella.
8 Tukui tapuchispaka nirka— Belenma riichi. Chipika chi wawamanda allilla tapungichi.  Paita tarispaka willawagsamungichi nukapas rispa paita kungurigringapa.,8 Y enviándolos a Belén les dijo: — Id y averiguad con cuidado acerca del niño. Tan pronto le halléis hacédmelo saber para que yo también vaya y le adore.
9 Chasa uiaspa chi magukunaka chimanda llugsirkakuna. Chiura chi istrilla  ñugpa kawaskaka ikuti kawarispa ñugparka. Belén puibluma chaiagrispa  chi wawa kaskapi saiarigrirka.,9 Ellos después de oír al rey se fueron. Y he aquí la estrella que habían visto en el oriente iba delante de ellos hasta que llegó y se detuvo sobre donde estaba el niño.
10 Istrillata kawaspaka magukuna iapa suma  iuiachiiwa tukurkakuna.,10 Al ver la estrella se regocijaron con gran alegría.
11 Chi wasi ukuma iaikugrispaka wawata mama  Mariawanta tarigrirkakuna. Kungurispaka wawata mucharkakuna. Ima apamuskata paskaspaka paita kararkakuna: kuri suma asna insinsu mira kupal.,11 Cuando entraron en la casa vieron al niño con María su madre y postrándose le adoraron. Entonces abrieron sus tesoros y le ofrecieron presentes de oro incienso y mirra.
12 Chiuramanda magukunata muskui ukupi willai tukurkakuna Herodespagma  mana *kutingapa. Chimanda pai kikinkunapagma sug ñambita *kutirkakuna.  Ejipto alpama mitikuspa riskamanda,12 Pero advertidos por revelación en sueños que no volviesen a Herodes regresaron a su país por otro camino.
13 Magu kuna ña riskaura manda atun Taita Diuspa anjilka muskui  ukupi kawarispa Joseta kasami nirka:  —Atarii. Wawata mamandiwanta Ejipto suti alpama mitikuichi. Chi  alpapi chisiagriichi nuka ikuti kamta willankama. Herodesmi wawata  wañuchingapa maskachingapa ka.,13 Después que ellos partieron he aquí un ángel del Señor apareció en sueños a José diciendo: “Levántate; toma al niño y a su madre y huye a Egipto. Quédate allá hasta que yo te diga porque Herodes va a buscar al niño para matarlo. ”
14 Chi tutalla Joseka atarispa wawata mamandiwanta pusaspa Ejiptoma  mitikurkakuna.,14 Entonces José se levantó tomó de noche al niño y a su madre y se fue a Egipto.
15 Chi alpapika kaugsagrirkakuna Herodes wañunkama.  Chasami atun Taita Dius paipa Ispirituwa rimagwa ñugpata willaskasina tukugsamurka. Kasami ñugpamandata willaraiarka: “Ejipto  alpamandami nukapa wambrata kaiarkani”.  Mandag Herodes wawakunata wañuchichiskamanda,15 Y estuvo allí hasta la muerte de Herodes para que se cumpliese lo que habló el Señor por medio del profeta diciendo: De Egipto llamé a mi hijo.
16 Herodeska iuia rigsamurka: “Nuka imasa niskasina magukuna  mana willawagsamurkakuna”. *Chiwanka iapa rabiawa tukugsamurka.  Nispaka suldadukunata Belén puibluma chi suiu kaugsanakuskapagma  kacharka tukui manara iskai wataiug kari wambrakunata wañuchingapa.  Istrilla imaura kawariskata magukunata allilla tapuchiskawa iuiarispasi  chasa kacharka.,16 Entonces Herodes al verse burlado por los magos se enojó sobremanera y mandó matar a todos los niños varones en Belén y en todos sus alrededores de dos años de edad para abajo conforme al tiempo que había averiguado de los magos.
17 Sutipa mi Jeremías suti Santu Ispirituwa rimag ñug pata willaskasina  tukugsamurka. Kasami ñugpamandata willaraiarka:,17 Entonces se cumplió lo dicho por medio del profeta Jeremías diciendo:
18 Ramá suti puiblupi iapa lla kii wakaikuna mi uia riku.  Chika Rakel suti mamami paipa wawakunamanda wakaku.  Mana mas paipa wawakuna kawarigsamungapa kagmandami ñi pi  mana pudinkuna paipa llakiita anchuchingapa.,18 Voz fue oída en Ramá; grande llanto y lamentación. Raquel lloraba por sus hijos y no quería ser consolada porque perecieron.
19 Ña Herodes wañuskaura manda atun Taita Diuspa anjilka Ejipto  alpama rispa ikuti Joseta muskui ukupi kawarigrirka,19 Cuando había muerto Herodes he aquí un ángel del Señor apareció en sueños a José en Egipto
20 kasa nispa:  —Atarii. Wawata mamandiwanta pusaspa Israel alpama *kutii.  Wawata wañuchingapa munagkuna ñami wañurkakuna.,20 diciendo: “Levántate toma al niño y a su madre y vé a la tierra de Israel porque han muerto los que procuraban quitar la vida al niño.”
21 Chasa uiaspa José atarispa wawata mamandiwanta pusaspa Israel  alpama samurkakuna.,21 Entonces él se levantó tomó al niño y a su madre y entró en la tierra de Israel.
22 Chaiagsamuspaka iacharkakuna Arkelao suti  Herodespa wambra Judea alpallapita mandag kagta. Chasa iachaspaka  mancharirka chi alpapi kaugsagringapa. Nispa muskui ukupi paita willai  tukuspa Galilea suti alpama rirkakuna.,22 Pero al oír que Arquelao reinaba en Judea en lugar de su padre Herodes tuvo miedo de ir allá; y advertido por revelación en sueños fue a las regiones de Galilea.
23 Chima chaiagrispaka Nazaret  suti puiblupi kaugsai kallarirkakuna.  Chasami Santu Ispirituwa ñugpata willaraiaskasina tukugsamurka.  Kasami willaraiarka: “Paika nazareno sutimi kangapa ka”.  Juan Bautista chusa sitaska alpapi kaskamanda,23 Habiendo llegado habitó en la ciudad que se llama Nazaret. Así se cumplió lo dicho por medio de los profetas que había de ser llamado nazareno.
<CAP>,Capítulo 3
1 Chi puncha kuna Juan Bautista Judea manda chusa sitaska alpapi  kawarigsamurka,1 En aquellos días apareció Juan el Bautista predicando en el desierto de Judea
2 kasa nispa:  —Suma luarmanda mandai ñami chaiamungapa ka. Pandariikunata  sakispa Taita Diuswa tukugsamuichi.,2 y diciendo: “Arrepentíos porque el reino de los cielos se ha acercado. ”
3 Paimandami Santu Ispirituwa rimag Isaías suti kasa willaska karka:  Chusa sitaska alpapi  sug runa kaparispami puriku kasa nispa:  “Imasami ñambi allichinchi:  chasallata alli iuiaikunata apiichi  atun Taita Diusta chaskingapa”.,3 Pues éste es aquel de quien fue dicho por medio del profeta Isaías: Voz del que proclama en el desierto: “Preparad el camino del Señor; enderezad sus sendas. ”
4 Juanka kamello suti animalpa agchata awaska katanga churariskami  karka. Karata siñidursina ruraspa chumbilliskami karka. Langosta suti chapulinsina i sachukumanda abijunkunapa dusi miskillami mikuspa kaugsakurka.,4 Juan mismo estaba vestido de pelo de camello y con un cinto de cuero a la cintura. Su comida era langostas y miel silvestre.
5 Jerusalén puiblunigmanda Judea suiu alpamanda i Jordán iaku suiu ladumanda tukuinigmanda runakuna paipagma chaiai kallarirkakuna.,5 Entonces salían a él Jerusalén y toda Judea y toda la región del Jordán
6 Paika  Jordán iakupi maikan pandariskakunamanda willarinakuskata baugtisakurka.,6 y confesando sus pecados eran bautizados por él en el río Jordán.
7 Achka fariseo i saduseo suti taita kunapas Juanpagma chaiag rirkakuna baugtisaringapa. Chikunata kawaspaka paika nirka:  —Mana alli runakuna kulibrasinami kangichi. ¿Pitak kamkunata willagrirka:  “Taita Dius iapa rabiarispa llakii puncha ñami chaiamuku. Mitikuichi kispiriska  kangapa”?,7 Pero cuando Juan vio que muchos de los fariseos y de los saduceos venían a su bautismo les decía: “¡Generación de víboras! ¿ Quién os enseñó a huir de la ira venidera?
8 Tukui pandariikunata sakispa allilla ruraichi.,8 Producid pues frutos dignos de arrepentimiento;
9 *Mana iuiarispa kaichi: “Ñugpamanda taita Abrahampa iawarmi kanchi”. Niikichitami: Taita Dius  munagpika kai rumikunapas pudinkunami Abrahampa wambrakuna tukugsamungakuna.,9 y no penséis decir dentro de vosotros: ‘A Abraham tenemos por padre. ’ Porque yo os digo que aun de estas piedras Dios puede levantar hijos a Abraham.
10 Ñami tukuimanda justisiangapa ka; imasami sachakunata  achawa urmachingapa kawaku: chasa. Tukui sacha chusa u mana mikungasina  muiu iukaskakunata anguwanta urmachispa ninapimi churangapa ka.,10 El hacha ya está puesta a la raíz de los árboles. Por tanto todo árbol que no da buen fruto es cortado y echado al fuego.
11 —Kasapas. Kamkuna allilla iuiarispa pandariikunata sakigpika nuka  iakuwami baugtisaikichita. Ikuti sug nukamanda mas iachaka nukapa  katimi samungapa ka. Paita nuka mana pudinichu kungurispa paipa  chakikunapi churaraiaskata surkungapagllapas. Paika Santu Ispirituwa i  nina sindiwasinami baugtisangapa ka.,11 Yo a la verdad os bautizo en agua para arrepentimiento; pero el que viene después de mí cuyo calzado no soy digno de llevar es más poderoso que yo. El os bautizará en el Espíritu Santo y fuego.
12 Imasami chagrapi trigu agllag runa  palawa mana alli ugsakunata chabsichispa anchuchí: chasallatami pai suiaku mana alli iuiagkunata alli iuiagkunapa chaugpimanda anchuchingapa.  Alli trigusina kagkunata sugllapi sumami wakachingapa ka. Ikuti mana alli  ugsasina kagkunataka mana wañug ninapi rupakungapami sitangapa ka.  Jesús baugtisariskamanda,12 Su aventador está en su mano y limpiará su era. Recogerá su trigo en el granero y quemará la paja en el fuego que nunca se apagará. ”
13 Chi puncha kuna Jesuspas Galilea alpa manda llugsispa Jordán  iakuma chaiagrirka Juan paita baugtisangapa.,13 Entonces Jesús vino de Galilea al Jordán a Juan para ser bautizado por él.
14 Juanka piñarispa nirka:  —¿Imapatak chasa mañawaspa samukungi? Nukatami iukarkangi kam  baugtisawanga.,14 Pero Juan procuraba impedírselo diciendo: — Yo necesito ser bautizado por ti ¿y tú vienes a mí?
15 Jesuska ainirka:  —Baugtisawailla. Chasami chaiaku Taita Dius tukui imasa niskasina  nukanchi rurangapa.  Chasa ainiura Juanka paita baugtisarka.,15 Pero Jesús le respondió: — Permítelo por ahora porque así nos conviene cumplir toda justicia. Entonces se lo permitió.
16 Jesús baugtisai tukungallawa iakumanda llugsirka. Chiuralla awa suma luar  paskarirka. Chimanda kawarka Diuspa Ispíritu palumasina rigcha kawarispami  paipagma uraikumugta.,16 Y cuando Jesús fue bautizado en seguida subió del agua y he aquí los cielos le fueron abiertos y vio al Espíritu de Dios que descendía como paloma y venía sobre él.
17 Suma luarmanda rimaipas uiarigsamurka kasa nispa:  —Kai nukapa kuiaska wambrami kapuá. Paita kawaspa iapa alli sumami iuiachiiwa kawani.  Iaia kuku Jesusta pandariikunapi urmachingapa munakuskamanda,17 Y he aquí una voz de los cielos decía: “Este es mi Hijo amado en quien tengo complacencia. ”
<CAP>,Capítulo 4
1 Chiuramandaka Santu Ispíritu chusa sitaska alpama Jesusta pusarka.  Chipika iaia kuku pandariikunapi paita urmachingapa munakurka.,1 Entonces Jesús fue llevado por el Espíritu al desierto para ser tentado por el diablo.
2 Chusku chunga puncha tutakunawantami Jesús mana ñi imapas mikuspa-  lla chisiakurka. Nispaka iapa iarkaimanda iuiachigsamurka.,2 Y después de haber ayunado cuarenta días y cuarenta noches tuvo hambre.
3 Chiura chi  mana allilla iuiachig iaia kukuka paipagma chaiagrispa nirka:  —Kam Diuspa wambra kagpika kai rumikunata nii: “Tanda tukuichi”.,3 El tentador se acercó y le dijo: — Si eres Hijo de Dios di que estas piedras se conviertan en pan.
4 Jesuska ainirka:  —Ñugpamanda librupi kasami willaraiá:  Runakuna mana tandallawa kaugsangapa kankunachu.  Taita Dius tukui ima rimaskakunawami kaugsangapa chaiá.,4 Pero él respondió y dijo: — Escrito está: No sólo de pan vivirá el hombre sino de toda palabra que sale de la boca de Dios.
5 Nispaka chi iaia kuku Jerusalén suti Taita Diuspalla kaska puibluma  pusaspa Diuspa atun wasi awa puntapi saiachigrirka.,5 Entonces el diablo le llevó a la santa ciudad le puso de pie sobre el pináculo del templo
6 Nispaka nirka:  —Kam Diuspa wambra kagpika alpama sitarii. Ñugpamanda librupi  kasami willaraiá:  Taita Dius paipa anjilkunatami ninga kamta kawagsamungapa.  Paikunapa makipimi urmankangi.  Chasaka mana rumipi u imapipas chaki takarinkangichu.,6 y le dijo: — Si eres Hijo de Dios échate abajo porque escrito está: A sus ángeles mandará acerca de ti y en sus manos te llevarán de modo que nunca tropieces con tu pie en piedra.
7 Jesuska ainirka:  —Kasapasmi willaraiá:  Kamba atun Taita Diusta *mana ianga ningi:  “Abir kawasaki: ¿pudingichu?”.,7 Jesús le dijo: — Además está escrito: No pondrás a prueba al Señor tu Dios.
8 Ikuti chi iaia kukuka iapa awa filuma pusaspa kai luarpi tukui alpakuna i tukui ima chipi suma tiaskakunata kawachirka.,8 Otra vez el diablo le llevó a un monte muy alto y le mostró todos los reinos del mundo y su gloria.
9 Nispaka nirka:  —Kam kunguriwagpika tukui kawarkangi: chikunatami karasaki.,9 Y le dijo: — Todo esto te daré si postrado me adoras.
10 Chiura Jesuska chi iaia kukuta nirka:  —Nukapa ñawimanda anchurii. Ñugpamanda librupi kasami willaraiá:  Kamba atun Taita Diusllata kungurispa kangi.  Pai ima niskallatami iukangi ruraspa kanga.,10 Entonces Jesús le dijo: — Vete Satanás porque escrito está: Al Señor tu Dios adorarás y a él solo servirás.
11 Chasa niura chi iaia kuku Jesusta sakispa anchurirka. Chiuralla  anjilkuna samuspa paita ima ministiskami karagsamurkakuna.  Galilea alpapi Jesús willai kallariskamanda,11 Entonces el diablo le dejó y he aquí los ángeles vinieron y le servían.
12 Juan Bautista karsilpi wichkaska kagta iachaspa Jesuska Galilea  alpama rirka.,12 Y cuando Jesús oyó que Juan había sido encarcelado regresó a Galilea.
13 Manima Nazaret puiblupi kidarirka. Kafarnaum suti puiblupimi kaugsai kallarirka.  Chi Kafarnaumka Galilea atun kucha ladupimi ka Zabulón i Neftalí  suti ñugpamanda taitakuna kaugsaska alpapi.,13 Y habiendo dejado Nazaret fue y habitó en Capernaúm ciudad junto al mar en la región de Zabulón y Neftalí
14 Isaías suti Santu Ispirituwa rimag ima ñugpamanda willaska tukugsamungapami Jesús chipi kaugsangapa chaiarka. Kasami Isaías niska karka:,14 para que se cumpliese lo dicho por medio del profeta Isaías diciendo:
15 Zabulón i Neftalipa alpa kunapi  atun kuchama ridiru ñambi ladu suiu  Jordán iaku sug ladu chimba  Galilea alpapimi Taita Diusta mana rigsigkuna kaugsankuna.,15 Tierra de Zabulón y tierra de Neftalí camino del mar al otro lado del Jordán Galilea de los gentiles.
16 Chi alpa kunapi iana tutapisina kaugsa na kug  sug atun punchaiachigsina runatami kawangapa kankuna.  Chi alpa suiu wañungapa manchaiwa kaugsanakuskapimi  chi runa kawarigsamungapa kankunata.,16 El pueblo que moraba en tinieblas vio una gran luz. A los que moraban en región y sombra de muerte la luz les amaneció.
17 Jesuska Kafarnaum puiblupi kaugsakuspaka kasami willai kallarirka:  —Suma luarmanda mandai ñami chaiamungapa ka. Pandariikunata  sakispa Taita Diuswa tukugsamuichi.  Chusku chalwadurkunata Jesús kaiaskamanda,17 Desde entonces Jesús comenzó a predicar y a decir: “¡Arrepentíos porque el reino de los cielos se ha acercado! ”
18 Galilea atun kucha pata pata purikuspa Jesús iskai waugkindi-  kunata kawarka: sug Simón suti; paillatata Pedro. Sugka Andresmi suti  karka. Paikuna chalwadurkuna kaspa ataraia iaku ukuma sitaspami  purinakurka.,18 Mientras andaba junto al mar de Galilea Jesús vio a dos hermanos: a Simón que es llamado Pedro y a su hermano Andrés. Estaban echando una red en el mar porque eran pescadores.
19 Paikunata kawaspaka Jesuska nirkakunata:  —Katiwaichi. Iachachisakichitami chalwakunata apigsina runapura  maskapuagkuna kangapa.,19 Y les dijo: “Venid en pos de mí y os haré pescadores de hombres. ”
20 Chasa uiangallawa ataraia kunata sakispa Jesusta katirka kuna.,20 Y de inmediato ellos dejaron sus redes y le siguieron.
21 Chimanda mailla riskapi ikuti Jesús sug iskai waugkindikunata mi  kawarka. Paikuna Zebedeopa wambrakunami karka; sug Santiago suti;  sugka Juan. Paikuna taitandiwa kanuapi kaspa ataraiakunata allichinakurka. Paikunata kawaspaka Jesuska kaiarkakunata.,21 Y pasando más adelante vio a otros dos hermanos Jacobo hijo de Zebedeo y Juan su hermano en la barca con su padre Zebedeo arreglando sus redes. Los llamó
22 Paikunapas  uiangallawa taitata i kanuata sakispa Jesusta katirkakuna.  Jesús iapa achka runakunata iachachiskamanda,22 y en seguida ellos dejaron la barca y a su padre y le siguieron.
23 Chimanda Jesuska Galilea alpa suiu judiukuna tandaridiru wasikunapi  iachachispa Diuspa suma mandaimanda Alli Willaita willaspa tukuikunata  maituku unguikunawa kaskakunatapas ambispami purikurka.,23 Jesús recorría toda Galilea enseñando en las sinagogas de ellos predicando el evangelio del reino y sanando toda enfermedad y toda dolencia en el pueblo.
24 Siria suti  alpa suiupasmi paimanda iapa iacharigrirka. *Chiwanka tukui ungugkunata  paipagma pusanakurka. Sug rigcha sug rigcha ungui i nanaikunawa kaskakunata kuku wairawa kagkunata wañui ungui iukaskakunata mana kuirpu  kuiuringapa pudigkunatapas tukui chasakunatami Jesús ambispa purikurka.,24 Su fama corrió por toda Siria y le trajeron todos los que tenían males: los que padecían diversas enfermedades y dolores los endemoniados los lunáticos y los paralíticos. Y él los sanó.
25 Chi punchakuna iapa achka runakuna paiwa sugllapi tandarispa  purinakurka Galilea i Judea alpakunanigmanda Dekápolis suti puiblukunanigmanda Jerusalennigmanda i Jordán iaku sug ladu chimbanigmanda.  Awa lumapi Jesús iachachiskamanda,25 Le siguieron grandes multitudes de Galilea de Decápolis de Jerusalén de Judea y del otro lado del Jordán.
<CAP>,Capítulo 5
1 Chi achka runakunata kawaspaka Jesús awa lumama rirka.  Chipi tiarigriura paita katiraiagkuna kaillaiagrirkakuna.,1 Cuando vio la multitud subió al monte; y al sentarse él se le acercaron sus discípulos.
2 Chiura  Jesuska iachachii kallarirkakunata kasa nispa:,2 Y abriendo su boca les enseñaba diciendo:
3 —Kamkuna Taita Diuswa iuiarispa mana iukagsina tukugkuna  paipa iapa kuiaskami kangichi. Chasa kagkuna Dius suma mandakuskapimi iaikugringapa kangichi.,3 “Bienaventurados los pobres en espíritu porque de ellos es el reino de los cielos.
4 —Piwapas mana atuniachiriska iuiaspa kagkunapas Taita Diuspa  iapa kuiaskami kangichi. Chasa kagkuna kai alpa duiñu karaska kagkunami niraiangapa kangichi.,4 “Bienaventurados los que lloran porque ellos serán consolados.
5 —Kunaura iapa llakiiwa wakanakuskapas Taita Diuspa iapa kuiaskami  kangichi. Chasa kagkunata paimi sumaglla llakiikunata anchuchingapa ka.,5 “Bienaventurados los mansos porque ellos recibirán la tierra por heredad.
6 —Iarkai i iakunaiwasina Taita Dius imasa munaskasina rurangapa  munagkunapas paipa iapa kuiaskami kangichi. Paillatatami ima alli  munaskata karamungapa ka.,6 “Bienaventurados los que tienen hambre y sed de justicia porque ellos serán saciados.
7 —Sugkunamanda iapa llakiiwa kagkunapas Taita Diuspa iapa kuiaskami kangichi. Chasa kagkunamanda paipasmi iapa llakiiwa kawangapa ka.,7 “Bienaventurados los misericordiosos porque ellos recibirán misericordia.
8 —Tukuipi allilla suma iuiaiwa kagkunapas Taita Diuspa iapa kuiaskami kangichi. Chasa kagkuna paipa ñawitami kawagringapa kangichi.,8 “Bienaventurados los de limpio corazón porque ellos verán a Dios.
9 —Rabiawa kagkunata pasinsiachigkunapas Taita Diuspa iapa kuiaskami kangichi. Chasa ruragkunata pai ningapami ka: “Nukapa wambrakunami kangichi”.,9 “Bienaventurados los que hacen la paz porque ellos serán llamados hijos de Dios.
10 —Kam kuna alli ruraspa kaugsa na kug manda sugkuna mana suma  kamkunata ruranakugpipas Taita Diuspa iapa kuiaskami kangichi. Chasa  pasaspa kagkuna Dius suma mandakuskapimi iaikugringapa kangichi.,10 “Bienaventurados los que son perseguidos por causa de la justicia porque de ellos es el reino de los cielos.
11 —Nukamanda iuiarispa maikanpas kamkunata kamispa mana suma  ruraspa kamkunamanda llullaspa juchachispa rimagpikunaka Taita Diuspa  iapa kuiaskami kangichi.,11 “Bienaventurados sois cuando os vituperan y os persiguen y dicen toda clase de mal contra vosotros por mi causa mintiendo.
